,Comment,id,date,Pos,Neg,Neu
72,"SEATS: I don't think we get the option for those seats you have in the states.  We only get Vercansara (real leather) or Sensatec (Vinyl type). The Sensatec seats were updated this year however, most people are saying those are better and more comfortable than even the real leather ones.  Also can get ventilated. I think I may have to get this or a m340i as my next ride!","
 @jaredwilley6456
 ",1 year ago,0.097,0.0,0.903
73,"I have this car and love it so much I actually watch videos about it. This is definitely the best video about it so far! 
- German Cowboy 

(JK, not really a cowboy… or German. But this is a great video. And a great car.)","
 @djmars4193
 ",1 year ago,0.354,0.0,0.646
74,You guys should show the taillights and turn signals,"
 @Rarkmeece
 ",1 year ago,0.0,0.0,1.0
75,Definitely need the limp test. I was laughing through the whole test lol,"
 @peterclifton6312
 ",1 year ago,0.492,0.0,0.508
76,Loving your videos I think bmw has some of the best looking tail lights,"
 @TheeRighteousOnee
 ",1 year ago,0.424,0.0,0.576
77,What a sexy car. I wish BMW would make the entire front interface a touch screen or make it an option at least instead of that same old screen sticking up in the front. Mercedes is starting to move towards primarily touch screens for their front interfaces and it looks clean. Just my opinion though. :),"
 @TheCozzyGaming
 ",1 year ago,0.194,0.0,0.806
78,"This car looks, sounds amazing, bmw really makes quality cars especially M cars","
 @ShawnLomas
 ",1 year ago,0.257,0.0,0.743
79,I just placed an order for one of these in the same color. I can’t wait. 8-10 weeks seems like an eternity!,"
 @CleanIsFast
 ",1 year ago,0.128,0.0,0.872
80,"I agree with the over badging. Would remove the front quarter panel emblem, rear emblems, at a minimum. Probably the front grill emblem as well","
 @jacobbio8374
 ",11 months ago,0.18,0.0,0.82
81,"I prefer the looks of the BMW X4, or any suv coupe. love the sporty look and smooth lines of the roof.","
 @jonanthonylosito2004
 ",1 year ago,0.174,0.0,0.826
82,I really like the X3M but I also like the new Genesis GV70 as well. Idk what I would choose !!,"
 @mozzie2729
 ",1 year ago (edited),0.361,0.066,0.573
83,The taillights instantly reminded me of the energy swords from Halo. The Arbitrator approves.,"
 @Adam-om9hu
 ",1 year ago,0.286,0.0,0.714
84,"My wife has this exact vehicle, but black exterior with the cognac interior. The infotainment center does the weirdest stuff. You actually use hand gestures in front of the screen to control stuff without touching a knob. Like to raise the volune, you can move your finger in a circle.","
 @bernardrubble8703
 ",1 year ago,0.079,0.092,0.829
85,"I have a 991.2 gt3 . The performance of our X3 is just about enough to make me sell the gt3 . But … expect to buy a new set of tires every three or four oil changes and these tires aren’t cheap . The x3 has a rear tire power bias which results in uneven wear  of the rears over the fronts . The accepted tolerance is 2/32nds difference otherwise too much wear  or abuse of differential . Would have kept me from buying one . Also , you can’t just replace the rears because then they’ll have too much tread compared to the fronts . Eventually they even out but this is beyond bmw spec and will probably void your warranty . I have 40k on mine , have a dedicated set of winters on wheels so that 40k doesn’t even represent the wear on my summers .","
 @gg-ip3zo
 ",1 year ago,0.066,0.051,0.883
86,"I bought a 2017 Porsche Cayenne s and it broke under a week. So I might trade it for a M40i. I test drove a X3 M40i my eyes started blurring, even though it has less horse power, it’s so much faster and blows the Cayenne S out the water.","
 @sappyjohnson
 ",1 year ago,0.0,0.065,0.935
87,I would definitely take this over the Mercedes GLC. Without even a thought.,"
 @GOBZ1984
 ",1 year ago,0.213,0.0,0.787
88,“Launch control… that was very smooth” * Urie’s head whiplashing every shift * ,"
 @michaelklein2858
 ",1 year ago,0.0,0.0,1.0
89,Just bought a 2018 X3 M40i! Absolute beast,"
 @Coolman2527
 ",1 year ago,0.0,0.0,1.0
90,I have the 2020 X4 M40i (same engine) and I can tell they have killed all the pops and crackles from the exhaust…,"
 @spick625
 ",1 year ago,0.0,0.184,0.816
91,If these manufacturers aren't going to put push button fold down seats then at least make the headrest flip down also when you pull the latch.,"
 @santana9537
 ",1 year ago,0.0,0.0,1.0
92,Amazing car inside and out,"
 @agustinliden6189
 ",1 year ago,0.487,0.0,0.513
93,This car review was Absolutely great,"
 @akdomun
 ",1 year ago,0.468,0.0,0.532
94,To correct: You guys wrote 500kW at the bottom of the 369lb/ft for the Torque figure at 0:39. It should have been 500Nm,"
 @kelvinngala4027
 ",1 year ago,0.0,0.0,1.0
95,Such a beautiful car.....you even wonder if its still the same company that wants to produce the new suv that looks hideous ,"
 @rsdbeiles
 ",1 year ago,0.163,0.0,0.837
96,Anxiously awaiting mine to arrive . Love the colour!,"
 @ciscocastillo26
 ",1 year ago,0.362,0.153,0.484
97,I love this and the taillights remind me of the halo energy sword!,"
 @PhiveWalls
 ",1 year ago,0.397,0.0,0.603
98,I believe you are meant to gradually swivel the cup/bottle into the cup holder.,"
 @mezziemezole4314
 ",1 year ago,0.0,0.0,1.0
99,1:23 probably couldn’t be a worse example.. a base model GLB does not look better than that CLA 45 ,"
 @caseydog237
 ",1 year ago,0.0,0.269,0.731
100,"Once supply chain issues are worked out, I'll be grabbing one!","
 @evalonious
 ",1 year ago,0.0,0.0,1.0
