,Comment,id,date,Pos,Neg,Neu
52,"I woulnt normally compare the Macan to an audi Q5 or X3, the Macan is clearly a proper sports powered , coupe styled SUV, the Q5 and X3 are regular suv's so would expect more interior space in those models. It would make more sense to compare to the new Q5 sport back for an interior space point of view and an SQ5 for an engine/ power point of view.","
 @jamesmccormack3229
 ",2 years ago,0.039,0.0,0.961
53,Another Fantastic Review. Matt you're bloody hilarious!!,"
 @Emjackson89
 ",2 years ago,0.499,0.21,0.29
54,"Dad: So, what do you do?
Mat: poking half a million cars with the stick of truth","
 @UtsavMistry-CMB
 ",2 years ago,0.133,0.0,0.867
55,I especially love the break up in the time bar.. u can choose to skip what u don't want or skip to the parts u wanna know about and u don't have to worry about spending more time on a video and hence browsing for shorter videos everywhere.,"
 @nkk8219
 ",1 year ago,0.146,0.026,0.828
56,I do wonder if  Matt has some 'specialist timing gear'? Perhaps he could let us know in one of these videos!! ,"
 @xandermeier3682
 ",2 years ago,0.0,0.0,1.0
57,"The grip and handling of this car is outstanding, fuel consumption only 1:8 inner city","
 @bingcu
 ",2 years ago,0.222,0.0,0.778
58,Amazing how there's always a stick conveniently lying around when Mat comes to check the back of the car,"
 @shounaksarkar7835
 ",2 years ago,0.164,0.147,0.69
59,"The buttons you say are ""difficult to select whilst driving"" are also located in actual hard button form along the bottom of the screen between the 2 rotary knobs.","
 @9fiveb180
 ",1 year ago,0.0,0.13,0.87
60,"""Its disigned to be a suv and sport so you dont get a divorce""
That Killed me XD","
 @subscribetomeoriwillstealy2568
 ",2 years ago (edited),0.197,0.195,0.608
61,You just can't not like this Macan. It ticks Almost every box.,"
 @paullockwood7219
 ",2 years ago,0.142,0.0,0.858
62,I can't buy  any but I love to hear the details about cars from matt thank you matt,"
 @djiinspire2djiinspire298
 ",2 years ago,0.393,0.0,0.607
63,"There are some really good automatic transmissions these days but once you have gotten used to the responsiveness of a dual clutch, everything else just feels like jelly.","
 @The.JZA.
 ",1 year ago,0.176,0.0,0.824
64,"Matt, can you explain to me how the scuffplates mounted on the plastic interior, inside the boot, will protect the paintwork? I've allways wondered.. ;D","
 @johanmarklund8427
 ",2 years ago,0.182,0.0,0.818
65,Carbuyer's reviews last about 5 mins and don't say anything but carwow's reviews last about 15 minutes and talk about everything... Well done carwow ,"
 @carscarscars7738
 ",2 years ago,0.108,0.0,0.892
66,"I’m still stuck on the time the lady asked Mat to film elsewhere and he said no  then the woman said something like, “you’re incredibly rude”. Oh, good times.","
 @mauri123g
 ",2 years ago,0.162,0.12,0.717
67,"Fantastic review,  well done.","
 @jh0742
 ",2 years ago,0.74,0.0,0.26
68,Top gear should have Matt and Yianni presenting i reckon that would make it good to watch again! They have a cool vibe and the banter would be quality ,"
 @hodge1013
 ",2 years ago (edited),0.233,0.0,0.767
69,Great review. Love the new sections of your review,"
 @nevillejames2200
 ",2 years ago,0.542,0.0,0.458
70,"Great vid. I have a question. I have porsche 911 and now I'm thinking of getting a car with more seats. I'm thinking Macan S (2022), Cayenne coupe S, and Panamera Sport Turisumo. Which one would you recommend and why? Thanks!","
 @kevinhan721
 ",1 year ago,0.229,0.0,0.771
71,If you didn’t know 0-60 and 0-100 is a 4 km difference so apparently that makes a difference of 0.2 seconds that’s why Mat sometimes get a different time from what the car brands claim. 60 mph is 96 kph.,"
 @yithenntan7875
 ",1 year ago (edited),0.0,0.0,1.0
72,"I feel like you should do a full test of the Mercedes GLC 63s, just as sporty but with a V8 and I think more comfortable and practical.","
 @alekspanzone1721
 ",2 years ago (edited),0.232,0.0,0.768
73,The Macan is too expensive for its class but a Turbo S would be awesome for this car.,"
 @xavriz
 ",2 years ago,0.274,0.0,0.726
74,Who also loves the humour from Matt,"
 @rangeroversport3157
 ",2 years ago (edited),0.576,0.0,0.424
75,"Matt, when can you do a video on the new facelifted F-Pace SVR? Would love to know how it stacks up to the 2021 Macan.","
 @shipme974
 ",1 year ago,0.154,0.0,0.846
76,"Can confirm in the USA, pedals, wheel and seat are all perfectly centered being on the left side of the car!","
 @Jayson_Tatum
 ",9 months ago,0.183,0.0,0.817
77,"In Switzerland, the model presented in this video will cost you a bit more then 132'000CHF (according to their configurator). That is a lot of money.
The ""Basic"" Turbo version starts at 121'300CHF ( that is £101'000!). That is 47% more for the same thing. Talking about being ripped off.
In the US, this imported car that traveled all over the ocean, for them starts at 84'600USD ( £64'550) or 77'000CHF without taxes (83'200CHF would be with the VAT).","
 @DS-pk4eh
 ",2 years ago (edited),0.0,0.0,1.0
78,I saw Matt in my dreams driving my car I think I need to see a doctor ,"
 @chrissp9378
 ",2 years ago,0.184,0.0,0.816
79,6 months later in recommendations. This and The Cayenne with the Bentley are the best Luxury SUV's,"
 @clipped6963
 ",2 years ago,0.219,0.0,0.781
80,this is the only SUV I dream off seriously,"
 @da41401
 ",2 years ago,0.206,0.175,0.619
81,I prefer the look of the pre facelift just looks more smart to me,"
 @danielmarkham8703
 ",2 years ago,0.2,0.0,0.8
82,We need to see this compared with the RSQ3,"
 @deantimothy4386
 ",2 years ago,0.0,0.0,1.0
83,"The base macan is still very good. It sounds good,feels fast and gets good fuel!!","
 @GM-cj1wh
 ",2 years ago,0.349,0.0,0.651
84,The Macan keeps on getting better each year.....german rivals should be worried,"
 @keithmarshall6301
 ",2 years ago,0.192,0.146,0.662
85,Loving the use of the phrase ‘bell end’. Much underused phrase that. You are a true wordsmith Mat ,"
 @stevequinn70
 ",2 years ago,0.309,0.0,0.691
86,If you have to choose between a Macan GTS and a Range rover sport hse dynamic 306hp which one would you go for?,"
 @zakariabellot4946
 ",2 years ago,0.115,0.0,0.885
87,the only reviewer to get some air time when doing a test drive ,"
 @bondanoz
 ",2 years ago,0.0,0.0,1.0
88,"Porsche, say it again. Worth it. ","
 @Lyndon2020
 ",2 years ago,0.275,0.0,0.725
89,I think you’d have to be silly to spec ceramic breaks on a suv unless you’re planning on raging it round country lanes and want to end up on the other side of the road,"
 @loz9715
 ",2 years ago,0.067,0.095,0.838
90,"Carwow should also add the ""Stick of truth"" to their merchandise lineup...I'd buy a 50 of them","
 @vaniuk1572
 ",2 years ago,0.133,0.0,0.867
91,"I was just eyeing one of these at the car wash this evening, I’ve never taken much notice of Porsche SUV’s before. Nice vehicle.","
 @murraysampson2501
 ",2 years ago,0.113,0.0,0.887
92,Mat has gone as good as Jeremy Clarkson!,"
 @ttvvideos2050
 ",2 years ago,0.313,0.0,0.687
93,"Wow you really treated that car with care and respect ! Wait... no, that was just a dream I had

Edit : It is normal that it's not only available as a diesel, and it's normal that the pedals aren't in the perfect place, just act like everyone else and drive on the fucking correct side","
 @theotimenk
 ",2 years ago (edited),0.232,0.081,0.687
94,That turbo whistle tho,"
 @cartik4296
 ",2 years ago,0.0,0.0,1.0
95,"I don't care how modern is the car, I still loving buttons. :-)","
 @dannylopezcalderon7825
 ",2 years ago,0.368,0.156,0.475
96,"Matt:This thing measures movement

Also Matt: I'm boring

Also Matt: Puts his elbow in a cup holder...","
 @duckboii
 ",2 years ago (edited),0.0,0.133,0.867
97,OMG  the first 6 seconds Mat is already on fire ,"
 @MrSamstackz
 ",2 years ago,0.0,0.231,0.769
98,Great review Mat!,"
 @ryanfrisby7389
 ",2 years ago,0.687,0.0,0.313
99,"I actually dig that color, it's like an off white ","
 @devilgames2217
 ",2 years ago,0.238,0.0,0.762
100,Love how Matt indicates the letter he refuses to pronounce when discussing the back of the car.,"
 @DreetenVeelokeetn
 ",2 years ago,0.208,0.0,0.792
101,another car I'm gonna buy before this year ends..... but in my dreams,"
 @Akuto420
 ",2 years ago,0.228,0.0,0.772
102,2:30 I see what you did there...hit the car with that stick.Damn Mat,"
 @jurabrebric5278
 ",2 years ago,0.0,0.0,1.0
103,The macan is the perfect SUV in my opinion. If only i could afford it,"
 @parismalaspinas2488
 ",2 years ago,0.222,0.0,0.778
104,Imagine mat joining the grand tour ,"
 @bluetuff1
 ",2 years ago,0.375,0.0,0.625
105,"Gonna buy this one in the states 
But my question is...... Is it expensive to maintain ??","
 @sheehanroy4001
 ",2 years ago,0.0,0.0,1.0
106,"When that stick of truth touched the bumper, it left a scratch on my heart!","
 @johanybravo9661
 ",2 years ago,0.166,0.0,0.834
107,This car I am about to buy now  so exiting ,"
 @Chris-ws2iy
 ",2 years ago,0.0,0.0,1.0
108,"8:08 an idea, you can put helicopter tape (I use for my bycicle 3M) to avoid damage that parts of your car","
 @rubioe3067
 ",2 years ago,0.0,0.213,0.787
109,It would be my choice if I was in the market for a spot utility vehicle ,"
 @wotrulke5868
 ",2 years ago,0.0,0.0,1.0
