,Comment,id,date,Pos,Neg,Neu
76,I have a feeling Maserati held a gun to Raitis head and told him not to mention anything about Porsche ,"
 @AP-ni6gu
 ",5 months ago,0.079,0.127,0.794
77,Thank God I will buy one for myself,"
 @musamusa2961
 ",5 months ago,0.479,0.0,0.521
78,Raiti explained the Maserati logo better than Google ,"
 @ReallyBruh1
 ",5 months ago,0.293,0.0,0.707
79,Great Job Joe ,"
 @sonalmalhotra07
 ",5 months ago,0.672,0.0,0.328
80,I'll pay 70-75k for it but not 92k I'll get a hellcat charger or trackhawk for that price plus more horsepower,"
 @kenyattanichols4011
 ",5 months ago,0.0,0.059,0.941
81,"I am 100% sure that heated seats in FL are a MUST HAVE.......... LMFAO.......... Salute, Awesome review.","
 @kens.2753
 ",5 months ago,0.33,0.0,0.67
82,"Good looking car, will last about a year.","
 @kosanmr2
 ",5 months ago,0.326,0.0,0.674
83,"Wow Joe, you called it a Pasta rocket I call it the Italian Disciple.","
 @luiselapostolfeliz2421
 ",5 months ago,0.257,0.0,0.743
84,"Beautiful vehicle, BUT I can't help but notice how more and more vehicle are pricing themselves for less and less consumers.","
 @erikiversen408
 ",5 months ago,0.105,0.124,0.771
85,I like this thing but it’s got very tough competition,"
 @dnice362
 ",5 months ago,0.16,0.2,0.64
86,This crossover rides on the very same platform/chassis that JEEP uses for the Grand Cherokee ,"
 @jcdenton8750
 ",5 months ago,0.176,0.0,0.824
87,"He said Italian make it better  that's a great joke, Italian cars can call Sr break a lot ","
 @AttainingExcellence1
 ",3 weeks ago,0.414,0.0,0.586
88,I'm very happy with my loaded 23 GV70 better vehicle in all aspects including the price.,"
 @russellrubinacci5028
 ",5 months ago,0.33,0.0,0.67
89,Man if the ac buttons was physical like Mercedes it would look so much better. The screen part for ac is so weird,"
 @FellipeZ
 ",6 days ago,0.203,0.08,0.716
90,"Would you pick porche,Maserati or bmw when it comes to luxury suv","
 @JJFN-zm3ky
 ",5 months ago,0.0,0.0,1.0
91,Perfect review James Woods!,"
 @olorin11
 ",2 months ago,0.571,0.0,0.429
92,Worth the money ,"
 @kotsiq_
 ",5 months ago,0.487,0.0,0.513
93,Joe - The engine sounds so whimpy from the outside. It actually sounded better inside the car. Are they channeling some of the engine sound through the speaker??,"
 @olivierdevries01
 ",5 months ago,0.111,0.0,0.889
94,Nice history about the trident logo- didn’t know that before.,"
 @ladislaualbert2807
 ",5 months ago,0.237,0.0,0.763
95,"Cool car 
Love you Joe & Steven 
My favorite local youtuber","
 @JuanRodriguez-km9hl
 ",5 months ago,0.576,0.0,0.424
96,I had to look at twice as I thought Joe was reviewing a 2020 Kia Sportage,"
 @floridian1087
 ",5 months ago,0.0,0.259,0.741
97,I see design inspiration from Porsche Maccan and 2016-2022 Kia Sportage in the front end,"
 @brownnzenn
 ",5 months ago,0.173,0.214,0.612
98,Great to see that Nissan revitalized the Juke,"
 @idohearthatersdgk
 ",5 months ago,0.369,0.0,0.631
99,Maserati is the Most Depreciated Exotic Car you can buy They Don't Hold There Value Like Other Exotics ,"
 @ChrisBacon198
 ",5 months ago (edited),0.122,0.099,0.779
100,"Nice vehicle,  but too expensive","
 @reaganwestlake
 ",5 months ago,0.322,0.0,0.678
101,I wonder when Maserati is going to redesign the interiors for the lavante and ghibli. They are both very outdated.,"
 @AP-ni6gu
 ",5 months ago,0.0,0.0,1.0
102,"Don't say it, don't say it...... It looks like Porsche Macannnn!","
 @nishant3528
 ",5 months ago,0.218,0.0,0.782
103,Only problem I have is when you fired it up it sounded like a gas powered leaf blower. Lol ,"
 @tommylane8748
 ",1 month ago,0.215,0.256,0.528
104,at first i thought you were being hacky with the food references but then eventually i got the joke of mocking the hacks who do that unironically lol,"
 @AlbertManiscalco
 ",4 months ago,0.197,0.107,0.696
105,The center-console clock looks like a drain pipe.,"
 @Cletus_the_Elder
 ",5 months ago,0.294,0.0,0.706
106,$90k for a 4 cylinder no!,"
 @fedTFup
 ",5 months ago (edited),0.0,0.454,0.546
107,"Looks like a Ford Puma from the front. 92 k, it will be 50 k once it leaves the lot. Similar to Levante sales","
 @lex350us
 ",5 months ago (edited),0.106,0.0,0.894
108,The car sounds Greek .Grecale .Looks beautiful and has some power .,"
 @alexi21san
 ",5 months ago,0.281,0.0,0.719
109,At the base price of $72k this might make sense.  But at $92k it's way overpriced and competing directly with the Porsche Macan S which is a MUCH better vehicle across the board.,"
 @blackvr4tt
 ",5 months ago,0.114,0.0,0.886
