Name,Comment,Date
ITP,"unpc said:Mapt said:Amazing the amount of negativity in these comments by people who don’t even know this is a Stelvio-based product, which has not been a secret at all. If you know literally nothing about the vehicle, how can you hate it? This is a vehicle designed to sell in numbers to keep Maserati alive. 20 years has passed since Porsche launched the Cayenne and it seems people still can’t accept an SUV built by a sports car manufacturer…So it's a Stelvio based product and that makes it all right in the world. Okaaay.I don't hate SUvs my Mrs has one and own the original luxury SUV but there's nothing Maserati about this. Porsche jumped on that bandwagon nearly 20 years ago. That bandwagon has already left.To be fair the stelvio platform is excellent. Should actually drive very well, so if it isn’t miles more expensive than the macan it should do well. Although the uk is still heavily biased towards German products, even cr@p/increasingly ugly ones. Plus, as usual, the PCP rates probably won’t be low/subsidised enough. We’ll see.","February 15, 2022"
Mr_Sukebe,"Can they please just cover it up again, then hopefully forget where they put it.","February 15, 2022"
chickensoup,it is a bloody Stelvio - so not that much mystery,"February 16, 2022"
aja001,"Based on the good but 5yr old Stelvio, bringing very little new to the party and looks like a scaled down Levante which is fine but not that interesting anymore. Missed opportunity and 5 yrs too late. Will probably just split the tiny sales volume the Stelvio attracts in half. Unfortunately I think this needed to be a full EV to pip the new Macan to the post and bring fresh Maserati styling ideas inside and out to be successful.","February 16, 2022"
Mouse Rat,"Some cars I don't like, but understand why they exist.These I don't.The small luxury I just don't understand as they won't be cheap and offer the worst off all worlds.Most people will just go for the generic Kia/Bmw/VW/audi/Porsche/ford thing.I hardly see the premium small SUVs on the road like the e pace Jag or Stelvio.","February 16, 2022"
hyphen,Nicolas Lazar said:Small Maserati SUV. What the world needs. NOT.But small suvs are what the buyers appear to want? A higher seating position without the cumbersome size of a larger suv.And Porche established the successful blueprint of a sports car manufacturer spreading out into suvs.,"February 16, 2022"
LotusOmega375D,"Think I saw this on the M25 last week. LHD and foreign plates (Poland, I think). Covered in Maserati logo camouflage. I thought it was a Levante.","February 16, 2022"
SRT77,When everyone has a higher seating position where is the perceived advantage.,"February 16, 2022"
anonymous-user,"SRT77 said:When everyone has a higher seating position where is the perceived advantage.I'm not sure people see raised seating as and 'advantage' over others, personally for day to day driving I prefer sitting higher up, better view out and around, and more comfortable. I think its size that people see as an advantage, bigger equals safer etc.","February 16, 2022"
ducnick,"SRT77 said:When everyone has a higher seating position where is the perceived advantage.The advantage comes from the vertical distance between eye level and the oncoming headlights. Its now almost impossible to safely drive a low sports car at night because headlights are very bright now and mounted increasingly higher up on the common SUV's. Even when driving a normal saloon car your eyes are typically now at the same level as oncoming lights. The only safe solution is to raise your eye level above the oncoming headlights. Since its very dangerous to drive with your head out of the sunroof with stilts strapped to your feet, a small SUV is the only remaining option.As long as these small SUV's retain the upright driving position, and are all approx the same dimensions, the status quo will be restored.","February 16, 2022"
MrB.,"LotusOmega375D said:Think I saw this on the M25 last week. LHD and foreign plates (Poland, I think). Covered in Maserati logo camouflage. I thought it was a Levante.Yeah I saw it around the Windsor area. I wondered if Maserati at Egham were doing early customer drives in a camouflaged car. Plenty of Levante's around here.","February 16, 2022"
phatman5000,"Ugh, that is depressing. This is the most important Maserati for years? A glorified bag for life that kids can sit in with their skips and quavers falling all over the place?I hate what the automotive industry is doing. I truly hate this SUV movement.","February 16, 2022"
Tony Del Monte,"I want to like it, but the design is a bit too bland and conservative for me. Especially when some brands are bringing out such daring and modern designs (e.g. Kia, Hyundai...). Let's see how it looks in the flesh, but to me it looks too much like a car frrom five yers ago.","February 16, 2022"
Tony Del Monte,"phatman5000 said:Ugh, that is depressing. This is the most important Maserati for years? A glorified bag for life that kids can sit in with their skips and quavers falling all over the place?I hate what the automotive industry is doing. I truly hate this SUV movement.I hear you, but the automotive industry produces what the customer wants. Voice of the customer. The other day I saw some stats on volume sold by body-type in the past 20 years, and it's shocking how much sales of saloons, estates and hatchbacks have decreased. And meanwhile, SUVs increased from around 4% market share in 2004 to 46% in 2021 (Europe).","February 16, 2022"
F1GTRUeno,Someone really needs to have a word with the person who did the proportions.Shopping trolley springs to mind.,"February 16, 2022"
anonymous-user,"Tony Del Monte said:phatman5000 said:Ugh, that is depressing. This is the most important Maserati for years? A glorified bag for life that kids can sit in with their skips and quavers falling all over the place?I hate what the automotive industry is doing. I truly hate this SUV movement.I hear you, but the automotive industry produces what the customer wants. Voice of the customer. The other day I saw some stats on volume sold by body-type in the past 20 years, and it's shocking how much sales of saloons, estates and hatchbacks have decreased. And meanwhile, SUVs increased from around 4% market share in 2004 to 46% in 2021 (Europe).a lot of it is down to the expansion of the varying types of SUVs, there are allsorts of shapes and sizes! Crossovers, coupes, utility, luxury, supermini size to limo size. Just calling them SUVs doesn't really paint an accurate picture","February 16, 2022"
Tony Del Monte,"Vidarr said:phatman5000 said:Ugh, that is depressing. This is the most important Maserati for years? A glorified bag for life that kids can sit in with their skips and quavers falling all over the place?I hate what the automotive industry is doing. I truly hate this SUV movement.I hear you, but the automotive industry produces what the customer wants. Voice of the customer. The other day I saw some stats on volume sold by body-type in the past 20 years, and it's shocking how much sales of saloons, estates and hatchbacks have decreased. And meanwhile, SUVs increased from around 4% market share in 2004 to 46% in 2021 (Europe).a lot of it is down to the expansion of the varying types of SUVs, there are allsorts of shapes and sizes! Crossovers, coupes, utility, luxury, supermini size to limo size. Just calling them SUVs doesn't really paint an accurate pictureYes, of course. But it's the same with other body types, like saloon, for example. You've got B segment saloons, C segment saloons, D segment, etc. Basically, from a Ford Fiesta saloon to a LWB Rolls Royce Phantom.My point was that manufacturers produce what customers want most (VoC), not what they themselves want.","February 16, 2022"
ajprice,"Pistonheads said:Nobody will confuse the Grecale for anything but a Maserati, at least. The Trident and trademark grille are and unmissable at the front end, framed by some Ford Puma-esque lights.Say that again, but slowly","February 16, 2022"
LuS1fer,"I have never seen an SUV I liked, before.And now?And now what?","February 16, 2022"
Manic Street Sleeper,"ajprice said:Pistonheads said:Nobody will confuse the Grecale for anything but a Maserati, at least. The Trident and trademark grille are and unmissable at the front end, framed by some Ford Puma-esque lights.Say that again, but slowlyNah ... the Ford Puma is a baby Aston Martin DBX","February 16, 2022"
anonymous-user,"Tony Del Monte said:Vidarr said:Tony Del Monte said:phatman5000 said:Ugh, that is depressing. This is the most important Maserati for years? A glorified bag for life that kids can sit in with their skips and quavers falling all over the place?I hate what the automotive industry is doing. I truly hate this SUV movement.I hear you, but the automotive industry produces what the customer wants. Voice of the customer. The other day I saw some stats on volume sold by body-type in the past 20 years, and it's shocking how much sales of saloons, estates and hatchbacks have decreased. And meanwhile, SUVs increased from around 4% market share in 2004 to 46% in 2021 (Europe).a lot of it is down to the expansion of the varying types of SUVs, there are allsorts of shapes and sizes! Crossovers, coupes, utility, luxury, supermini size to limo size. Just calling them SUVs doesn't really paint an accurate pictureYes, of course. But it's the same with other body types, like saloon, for example. You've got B segment saloons, C segment saloons, D segment, etc. Basically, from a Ford Fiesta saloon to a LWB Rolls Royce Phantom.My point was that manufacturers produce what customers want most (VoC), not what they themselves want.Oh I agree with you, but my point was SUVs have an even more diverse range of styles than ever, far more diverse than say saloons or hatchbacks, there is a huge choice of body styles, concepts and sizes when it comes to SUVs","February 16, 2022"
NGK210,"Oh dear, sign of the times? No, not referring to SUVs. Referring to PH.Recently, Evo, Top Gear, Car, et al, reviewed the MC20. To date, there hasn't been a review from PH of Maser's new mid-engined 2-seater with a 600bhp ICE V6.But hey, today we have news of a forthcoming Maser SUVSo is that it, is PH now primarily a host for recycled press releases and sycophantic advertorial-type interviews with unsavoury car dealers?","February 16, 2022"
Manic Street Sleeper,In a word ... yes - but please add flogging cars to that remit. They are the Daily Express of the motoring press.Edited by Manic Street Sleeper on Wednesday 16th February 18:49,"February 16, 2022"
pycraft,"""Just over a month until Maserati's most important car in years""It's the most important Maserati since the last one! It's the most important Maserati till the next one!See also: Jaguar.","February 17, 2022"
Rumblestripe,"Tony Del Monte said:Yes, of course. But it's the same with other body types, like saloon, for example. You've got B segment saloons, C segment saloons, D segment, etc. Basically, from a Ford Fiesta saloon....A what?","February 17, 2022"
Manic Street Sleeper,"Google Ford Fiesta Saloon - it does exist, its an awful stbox designed for and sold into the South Asian/Chinese market.","February 17, 2022"
psmith1980,Is there a by-law stating that every new Maserati / Alfa has to be billed as 'the marque's most important car in decades'?,"February 18, 2022"
Tony Del Monte,"Manic Street Sleeper said:Google Ford Fiesta Saloon - it does exist, its an awful stbox designed for and sold into the South Asian/Chinese market.Yes, and you don't have to go as far as Asia to see them. A few years ago they were available in many European countries, as versions of the normal European Fiesta. Not sure if this is still the case now.","February 18, 2022"
LuS1fer,"Tony Del Monte said:Manic Street Sleeper said:Google Ford Fiesta Saloon - it does exist, its an awful stbox designed for and sold into the South Asian/Chinese market.Yes, and you don't have to go as far as Asia to see them. A few years ago they were available in many European countries, as versions of the normal European Fiesta. Not sure if this is still the case now.I saw one in the Canaries, recently.","February 18, 2022"
DoctorX,"Manic Street Sleeper said:Can't wait for the Ferrari and Lotus SUVs to appear, the PH massive will have a massive heart attack.","February 21, 2022"
Vee12V,It'll certainly make the roads more interesting but Im afraid I can't see people getting out of their Macans for it.,"April 02, 2022"
Yazza54,I don't like its faceStelvio over this for sure.,"April 02, 2022"
maddog993,"Not really much of a step - much less a leap- forward is it? Inoffensive, even attractive styling, but put it alongside something like the Eletre & it seems about ten years behind the curve.","April 02, 2022"
TCS1,Yazza54 said:I don't like its faceStelvio over this for sure.It looks an awful lot like the Ford Puma,"April 02, 2022"
Mysstree,A Maserati dealer though will more likely take a shafting than the one you would have to take from a Porsche dealer if you wish to buy a car.,"April 02, 2022"
heisthegaffer,I think these are fantastic... Really hope maserati have deservedly good success with them and the MC20.,"April 02, 2022"
Crumpet,I quite like that. Would still take an F-Pace SVR over it - that will likely be much cheaper as well - but would certainly choose it before any of the Germans based on engine alone.,"April 02, 2022"
Kipsrs,"Porsche people are exactly that, so will usually buy a Porsche no matter what, however, there are also Maserati fans that now have an option which is equally as good to look at as a Macan, so, who would buy what? Time will tell as will sales figures.","April 02, 2022"
big_rob_sydney,"ICE = StelvioEV = EletreIn saying that, I'm looking forward to the next few years, because I want to see Lexus' next gen offerings. In the EV space, which, like it or not, that's where we're all going, I think they'll be bigger players than they are now. Quality will be key, given that the emotiveness around combustion engines will disappear. And no one does quality like Lexus. They also offer a lot of things for free that other companies charge like wounded bulls for.","April 02, 2022"
ducnick,"With these sorts of cars I wish the reviewers would essentially ignore the halo model bought by the 1%.What we seem to have is a 2 litre, fairly dull small suv just like all the other 2l dull SUV’s. I can’t imagine the vw Tiguan or Audi Q5 /bmw x3/Merc /jag etc etc is any better or worse when it comes to the dull powertrain. They are all dull because they are boring 2 litre four bangers in a brick outhouse.So move onto the other differentiating factors.Is the interior better or worse than the competition? Well it sounds pretty infuriating to me from the review. Certainly no match for proper door handles and buttons in a bmw, but probably about average for the market sector.How about the exterior styling? It looks to me like a big ford kuga with some Maserati badges. The whole thing looks very transverse front wheel drive with a cab forward design. Probably good for interior space, but it’s not a good looker to me.Price? I bet that will be competitive.Dealer experience/reliability … it’s a maserati, when I had one you wouldn’t venture near Britains only dealer, but I’m sure they must have improved now. In the PCP world this probably isn’t a factor.It’s going to be a very hard sell in a market dominated by German brands with wide dealer networks and big advertising budgets. I personally can’t see it doing well in the U.K.","April 02, 2022"
Joeogilvie,"I traded from a Macan to a new StelvioQF last summer - there’s no question as to the better interior quality and sense of solidity in the Macan, but the StelvioQF masks it’s weight far better, and even compared to the more sporty cars in my garage, is fun to drive.The Macan has extremely high residuals, and probably presents the most economic option, but the standard kit on a StelvioQF is impressive and you don’t have to spend big on options - that’s not always taken into account when Macan residuals are being discussed.I considered a Levante, but it was too dated and dynamically weak compared to the StelvioQF, though it’s hard not to find the brand appealing. If the Grecale had been available when I bought the StelvioQF last year, I’d definitely have considered it, but I suspect it would have to have been substantially better dynamically to justify the premium over the StelvioQF.","April 02, 2022"
DeltaEvo2,"The design is fine, the majority of people who buy this type of car don't really buy it for its looks, more for the interior and how many displays it's got. Never understood that. Out of all the SUVs I would probably get a Stelvio Quadrifoglio or a Levante Trofeo if I had the money. People talking about the headlights, the very first time I saw them designed like that were on the Fiat Punto and Maserati 3200, both designed by Giugiaro and that is decades before the Puma or Macan.","April 02, 2022"
GT3hopeful,"Joeogilvie said:I traded from a Macan to a new StelvioQF last summer - there’s no question as to the better interior quality and sense of solidity in the Macan, but the StelvioQF masks it’s weight far better, and even compared to the more sporty cars in my garage, is fun to drive.The Macan has extremely high residuals, and probably presents the most economic option, but the standard kit on a StelvioQF is impressive and you don’t have to spend big on options - that’s not always taken into account when Macan residuals are being discussed.I considered a Levante, but it was too dated and dynamically weak compared to the StelvioQF, though it’s hard not to find the brand appealing. If the Grecale had been available when I bought the StelvioQF last year, I’d definitely have considered it, but I suspect it would have to have been substantially better dynamically to justify the premium over the StelvioQF.+1","April 02, 2022"
