,Comment,id,date,Pos,Neg,Neu
43,"I don't think you need another presenter you do it so well  some of us are here because we blended with your style NOT BEING BIASED keep doing it RR

The caption says it For me its a Good but would have been great as always ","
 @remyazei3304
 ",11 months ago (edited),0.218,0.0,0.782
44,I find it rather refreshing the light rivalry act between the two host. I do hope to see more of them together.,"
 @Mangofresh2012
 ",11 months ago,0.132,0.0,0.868
45,I was waiting for Rory to jump back in all this time. Alex is great too. Love the two together.,"
 @sikukudotke
 ",11 months ago,0.328,0.0,0.672
46,"LOVE the Macan!!  If I wasn't a sports car guy (718 PDK GT4), I would be in a Macan GTS.   If only I could have both.","
 @z06van21
 ",11 months ago (edited),0.216,0.0,0.784
47,Rory is the reason I watch this channel.. Hope he's not leaving,"
 @tatendamangadi1154
 ",11 months ago,0.225,0.0,0.775
48,"I feel warped back in time to good reviews, courtesy of this lady. Rory is the evolution the evolved. Like KFC he has his own secret recipe and is a source of uniqueness that’s refreshing entertaining informative captivating. So what’s his secret? It’s difficult to say but I think scientists would say. “It’s written in his DNA”. It wouldn’t be surprising his first sound at birth was “ca ca a Car”. 
His enthusiasm is infectious, what he brings to the table precious, his contribution to Automotive reviewing, immeasurably humongous.","
 @originalGFLEX
 ",11 months ago (edited),0.194,0.018,0.788
49,"Welcome to Alexandra, she is lovely and clearly knows her stuff.

Macan's are always let down by their rims. I know bigger allows affect to ride, but they should be eye-catching.","
 @toobasaurus23
 ",11 months ago (edited),0.188,0.0,0.812
50,"Lets be honest, Rory couldnt do it alone and he needed help in the channel. I mean its too much going on atm like EV cars, luxury brands, budget brands, hot hatches, used cars, market analyses, head to head and etc.

I just hope that this means more content on some of the areas that you were kind of dropping the ball like reviewing budget/affordable cars.","
 @chickenfortress7956
 ",11 months ago,0.212,0.0,0.788
51,Both presenters deserve a gold star for NOT calling it a Macaaaaaaan!,"
 @Eastbarn1
 ",11 months ago,0.0,0.0,1.0
52,Is it me or does this actually sound better than a 911? To me the 911 sounds asthmatic but this has a real roar to it!,"
 @jak493
 ",11 months ago,0.089,0.0,0.911
53,Could be the perfect vehicle.  It does everything very very well.,"
 @PatrickHenryLibertyorDeath
 ",11 months ago,0.414,0.0,0.586
54,"Hopefully now we get more daily videos, not less Rory!","
 @costafilh0
 ",11 months ago,0.249,0.0,0.751
55,"Rory Dare not be leaving.. He the reason I'm sub to this channel aprt from liking cars lol. if He leaves I'm out too, can't beat his character ","
 @mfaj1415
 ",11 months ago,0.175,0.0,0.825
56,"Don’t even dare it Autotrader, Roy is the reason i watch these reviews and i can watch him all day.","
 @chelseaafricafanstv4703
 ",11 months ago,0.0,0.0,1.0
57,Namibia approves of your content Rory!! Keep up the great work,"
 @edwinnamadhila3530
 ",11 months ago,0.451,0.0,0.549
58,"Is it with the additional (GTS sport package) or a standard Macan GTS? 
Cuz firstly the difference is noticeable in terms of performance and ofc the price is different, also the colour is python green even the seat belt colour is. Great review btw.","
 @thiven_1617
 ",11 months ago,0.089,0.0,0.911
59,"Alex did extremely good and has a great character! It shows that she has a vast experience in the motorsports. Liked her from the first seconds! 
So welcome to the team!
And I'm really glad that Rory is not leaving! Really got scared! He is in my top 3 favorite presenters and no. 1 most knowledgeable and pleasant to listen to in the entire branch! 
So don't fu**ing loose him! ","
 @Jazztastic
 ",11 months ago,0.32,0.061,0.619
60,The chemistry does it for me. Good job guys,"
 @saintomens
 ",11 months ago,0.266,0.0,0.734
61,Great review .. can you ask Porsche to get massage seats as an option for the macan .. then would be the ultimate luxury decent sized suv,"
 @auchen888dolly8
 ",3 months ago,0.136,0.0,0.864
62,"Cant wait to see the EV version of the Macan.

RR is a great presenter.","
 @j1mgg
 ",11 months ago,0.24,0.0,0.76
63,Great review. I have recently taken delivery of the new Macan S and I love it.,"
 @robinmillward5455
 ",11 months ago,0.43,0.0,0.57
64,You better stay Rory,"
 @sry4lagg
 ",11 months ago,0.492,0.0,0.508
65,That was a great and fun review! Nicely done :-),"
 @ananthasb5550
 ",11 months ago,0.721,0.0,0.279
66,Don't know why everyone's so grumpy. Alex did a good job . I appreciated the new face and fresh perspective. Hope to see more of her. Either solo or a collab with Rory,"
 @rodneykariuki2501
 ",11 months ago,0.313,0.0,0.687
67,Rory can review the phone book and be solid - she's great too but Rory is the ONLY reason I subscribed to this channel.,"
 @M.....................
 ",11 months ago,0.161,0.0,0.839
68,The Porsche team are absolutely killing it ,"
 @The_journeyy
 ",11 months ago,0.0,0.439,0.561
69,"Hi Rory, very good video as always! Alexandra did pretty well :) I hope you are still going to do reviews tho! Also, are you going to do a review of the mc20 / mc20 Cielo ? I would love to. Thank you!","
 @cowboydu06
 ",11 months ago (edited),0.415,0.0,0.585
70,They make a great review partnership,"
 @mikuelable
 ",11 months ago,0.506,0.0,0.494
